sample_idx,csg,csl,d_adv_T,d_adv
86,1200.041,354.4802,2.1181411620902852,0.014720818562344676
87,101.23124,32.580856,0.1139409948637996,1.1992826355375473e-06
88,13.892661,4.3530188,0.015155393005016296,0.00010130687575942537
89,200.48416,51.23978,0.23049607400358998,5.224242369882365e-05
90,850.3187,84.058334,1.0159419475290643,0.002296635048625304
91,1001.6063,158.81961,1.3140742136123151,0.003814881339857666
92,228.07062,57.599674,0.26414354982384586,0.04914951405000419
93,120.28742,15.408077,0.13282240958029837,4.428784865276068e-05
94,363.74744,38.375557,0.4121043921984982,0.004219351447606491
95,124.46758,58.307266,0.1442723083273097,7.980887283563066e-06
96,108.85977,23.118843,0.12123613949444616,0.0017527917673542533
97,181.0867,65.56232,0.21168052215108152,0.0049083746512603174
98,477.5379,92.75207,0.5765402608531902,0.005897255701961826
99,200.08005,39.092094,0.22686305969004106,0.00030905884640271915
100,267.15338,56.561356,0.3090362333379794,0.0002886436494874746
101,63.970867,24.710953,0.07137032200499666,0.00011028379581248526
102,964.63605,95.76663,1.1688769499199139,0.07661342281324461
103,196.46712,43.045765,0.22376963737838712,0.0009540366970307996
104,67.21117,16.023756,0.07426563850174323,4.438455317924269e-05
105,264.68903,57.225834,0.3064210606775216,0.0001868728427238925
106,475.95718,81.31353,0.5668042875453124,0.001320016709587496
107,424.63782,64.85132,0.4959663492840743,0.0053268698826996
108,240.33159,48.84431,0.27554966707369044,0.00033458057100645415
109,513.9182,73.755295,0.6065515245143775,1.301073333137316e-07
110,426.7956,44.15926,0.4867235371121005,0.009770425804688251
111,382.22458,57.210163,0.4424797581145185,0.002894624363749207
112,154.10724,21.256956,0.1712726874321442,0.0013724203217653785
113,497.92224,74.11662,0.5879230168361566,4.4072765236209056e-05
114,454.309,100.10301,0.5534070178619658,0.0024080742797718325
115,331.17963,75.88127,0.39185770886891413,0.009133576956530585
116,7.3229766,1.8121359,0.007966494900888367,1.080763161208244e-05
117,989.27356,108.07411,1.2168786293540257,0.061686871952280176
118,48.310135,14.878055,0.05331326594584595,2.5175229762536557e-05
119,365.39932,82.8199,0.43592598420548945,1.681364781815422e-05
120,340.14444,55.176483,0.39284110660984584,0.0009241572438568361
121,741.49036,67.039604,0.8682613466582574,0.00500048845625846
122,292.9521,57.535343,0.3392617608205566,0.012387297030112498
123,559.6448,103.729294,0.6847443134605525,0.004071172084737967
124,73.593254,15.654192,0.08128439624237432,3.427968971528954e-05
125,34.809635,11.388922,0.03826726991736147,2.4900737178940254e-06
126,362.22717,114.814545,0.44929101344219796,0.002142685451715955
127,397.44293,133.24132,0.50450191061246,0.015438238839062804
128,473.71213,66.80016,0.5545461754009073,6.420427113617567e-05
129,236.20844,57.458954,0.2735239119506513,0.0033098004504219752
130,506.97443,72.3909,0.5973941269811864,0.0029856173888230114
131,699.8969,104.57953,0.8572393249456458,0.019930159953103224
132,316.95322,45.534313,0.3620254899748249,0.00044868096835075236
133,242.09676,62.28813,0.28191896396266924,0.0013084050913244644
134,820.3113,113.16424,1.0154003529854736,0.004594967500712945
135,108.36967,19.20173,0.1201660954876995,0.0010428676673701087
136,5.244349,6.9947095,0.005737552908139066,1.7414893707778207e-07
137,745.27856,132.92587,0.9456551754217779,0.00041705266365643304
138,649.2952,124.00696,0.8146463827929014,0.019020182042441377
139,2.489326,4.578263,0.0027162532767751493,8.841278842639016e-08
140,303.60385,67.66538,0.3557710370610682,3.611822930738037e-05
141,310.83102,70.21852,0.36533304611305334,0.000264955435966714
142,750.5959,131.16315,0.9502766787819491,0.04303782761521722
143,650.0631,59.13989,0.7542261558821146,0.019116570440717934
144,89.79591,33.696877,0.10119706203694863,5.996703677554769e-07
145,965.80554,138.46317,1.2341445058238474,0.020600795861545704
146,490.30432,132.87733,0.6220898961706571,0.0023576151645304626
147,1067.8912,101.08707,1.3023906102580707,0.04487582857901102
148,555.7914,72.14812,0.6547303573473511,0.002003628033099614
149,64.369095,11.356847,0.07076037030354765,0.0006314190954744568
150,398.89014,162.4013,0.5258013797646424,0.015704567637179145
151,240.47983,28.509708,0.2694378406533529,1.0409823519870001e-05
152,212.6934,47.76946,0.24356124181090455,0.0017388958767496103
153,978.34485,119.3304,1.2203323042086054,0.003066125955172771
154,236.22711,31.48587,0.26555853929337053,3.72537657724167e-06
