epoch,loss_t,grad_t,d_adv_t
0,4.830306,0.16333666,-0.7255026363162932
1,4.069724,1.2001458,2.2413942908290068
2,4.4041395,1.8357701,9.131791413396657
3,3.3950315,2.6694322,2.205889363304736
4,5.4222302,3.1951535,-3.9105491066752243
5,5.7082834,3.563301,-3.2302223975289817
6,2.767828,3.5176733,1.9145444192814627
7,2.3819818,5.7724314,2.5964653001736857
8,1.25688,5.7299848,1.7113166772263604
9,3.230041,9.402657,6.837653385031578
10,1.1661484,8.908408,2.5903901688666635
11,2.9701414,12.43134,7.6031323722527375
12,0.17542776,1.2422333,0.2804301374509
13,0.40229803,3.2287664,0.7682285644743846
14,0.29647273,2.6722407,0.6201968830934044
15,3.3376932,17.130995,13.51582329893994
16,1.5809567,13.749683,4.546531991790909
17,2.8606272,16.534775,9.47799776832656
18,0.17227611,1.8258529,0.4118873221437496
19,2.1064925,16.77519,6.713627200039352
20,0.050367206,0.5990483,0.13152013797814005
21,1.2869852,11.707435,3.5282645648766424
22,2.6650019,18.621435,9.597845194509082
23,0.021109084,0.28206235,0.06153110644605453
24,0.013616302,0.23772758,0.051774973878569726
25,0.016776899,0.28570345,0.06226655661396096
26,0.012332259,0.22268283,0.04848480115143166
27,0.16400586,2.9784474,0.6706456276898373
28,0.0008586534,0.014472722,0.0031432977482705924
29,1.5628144,11.205846,3.6832791597296355
30,0.16476178,2.320938,0.5226857303449013
31,5.6026798e-05,0.00095724344,0.00020786529980637713
32,0.004933328,0.08647728,0.018798440669915425
33,0.14046252,3.0903895,0.6921818222080536
34,0.005017546,0.1075133,0.023371681216982645
35,0.0013786583,0.04128988,0.008968668675563117
36,0.19751318,2.6746812,0.6068260713608847
37,0.7593035,8.631259,2.24429489888674
38,0.011684315,0.14945209,0.03253565906969131
39,0.010863331,0.18230724,0.03968112036647456
40,0.00285147,0.0335637,0.007292780364974814
41,0.01886041,0.21106379,0.04602039496797704
42,0.00047338722,0.010401152,0.0022588136693080718
43,0.0047040037,0.10471956,0.02276281417918298
44,0.08176283,1.8500055,0.4089849444502745
